"","x"
"Small-Int-Ep",0.0242846417679054
"Colon-Ep",8e-22
"Gastric-Ep",1.1e-21
"Gallbladder",1e-22
"Head-Neck-Ep",7e-22
"Epid-Kerat",1e-22
"Tonsil",5e-22
"Pharynx",1e-22
"Lung-Ep-Alveo",4e-22
"Bladder-Ep",5e-22
"Lung-Ep-Bron",3e-22
"Prostate-Ep",3e-22
"Pancreas-Alpha",0.107637949582524
"Pancreas-Delta",3e-22
"Pancreas-Beta",3e-22
"Pancreas-Duct",4e-22
"Pancreas-Acinar",0.0649956998049074
"Liver-Hep",6e-22
"Breast-Basal-Ep",4e-22
"Breast-Luminal-Ep",0.0514861648091609
"Endom",3e-22
"Fallopian-Ep",0.000356271812894189
"Ovary-Ep",0.00255245447740396
"Kidney-Ep",0.124595502565669
"Thyroid-Ep",3e-22
"Blood-T",0.06572685691708
"Blood-NK",0.066556492545409
"Blood-B",0.0634633986672258
"Blood-Mono+Marco",0.261112480103528
"Blood-Granul",0.15366527571962
"Megakaryocyte",3e-22
"Eryth-prog",0.0135668112266738
"Heart-Cardio",4e-22
"Neuron",7e-22
"Oligodend",4e-22
"Vescular-Endothel",5e-22
"Kidney-Endothel",4e-22
"Panc-Endothel",4e-22
"Lung-Alve-Endothel",2e-22
"Smooth-Musc",4e-22
"Heart-Fibro",4e-22
"Bone-Osteob",1e-22
"Adipocytes",3e-22
"Dermal-Fibro",1e-22
"Colon-Fibro",2e-22
"Skeletal-Musc",2e-22
